species,nseqs,RangeSize_km2,RangeSize_percentile
Notiosorex_crawfordi,4,2165524.323,
Rhinolophus_sinicus,3,2168789.352,
Lemmus_sibiricus,9,2178553.473,
Rhinolophus_stheno,2,2203369.067,
Hipposideros_pratti,4,2242890.329,
Rhinolophus_macrotis,3,2338732.114,
Nectomys_squamipes,2,2344405.45,
Eliomys_quercinus,16,2361893.941,
Macroglossus_sobrinus,14,2435586.643,
Pan_troglodytes,2,2489781.737,
Mus_haussa,2,2515787.637,
Leopoldamys_sabanus,9,2538591.118,
Berylmys_bowersi,10,2558037.195,
Dicrostonyx_groenlandicus,2,2562411.181,
Meriones_tamariscinus,3,2568244.178,
Sigmodon_hispidus,32,2615433.209,
Dicrostonyx_torquatus,3,2616056.371,
Hylomyscus_aeta,3,2618018.451,
Pipistrellus_hesperus,2,2655739.639,
Cynopterus_brachyotis,9,2699375.393,
Oligoryzomys_microtis,2,2722327.533,
Maxomys_surifer,12,2819659.556,
Galea_spixii,2,2836451.077,
Microtus_subterraneus,34,2884166.569,
Oligoryzomys_fulvescens,4,2895262.927,
Cephalophus_rufilatus,3,2928856.419,
Tupaia_belangeri,46,2980056.66,
Oryzomys_palustris,90,3017719.949,
Crocidura_shantungensis,20,3043276.28,
Neacomys_spinosus,2,3102230.808,
Tscherskia_triton,7,3140724.554,
Phodopus_roborovskii,35,3142836.36,
Calomys_callosus,5,3145719.961,
Oligoryzomys_flavescens,3,3150684.088,
Aotus_azarae,6,3162697.552,
Praomys_daltoni,24,3175665.592,
Rhinolophus_pearsonii,2,3176369.129,
Cephalophus_nigrifrons,2,3195722.687,
Grammomys_dolichurus,2,3257244.272,
Rhabdomys_pumilio,27,3275628.326,
Hipposideros_larvatus,4,3287819.464,
Chimarrogale_himalayica,29,3308208.167,
Aethomys_namaquensis,128,3338613.425,
Papio_ursinus,2,3348437.988,
Dipodomys_ordii,2,3419419.162,
Megaloglossus_woermanni,12,3430047.296,
Neomys_anomalus,2,3476074.307,
Martes_pennanti,20,3485318.941,
Eonycteris_spelaea,2,3525479.58,
Cephalophus_dorsalis,5,3572475.048,
Ovis_ammon,2,3583386.124,
Rattus_nitidus,3,3587172.17,
Gracilinanus_agilis,58,3608922.774,
Rattus_exulans,47,3622496.223,
Spermophilus_tridecemlineatus,136,3679430.545,
Caluromys_philander,2,3706320.503,
Glis_glis,2,3715719.246,
Cricetomys_emini,4,3732468.193,
Praomys_jacksoni,14,3744033.683,
Epomophorus_gambianus,23,3790881.102,
Barbastella_barbastellus,2,3802954.75,
Panthera_leo,14,3815669.217,
Lemniscomys_zebra,2,3840418.768,
Glaucomys_volans,52,3848269.764,
Crocidura_leucodon,6,3926380.275,
Barbastella_leucomelas,3,3926552.914,
Niviventer_confucianus,2,3970066.247,
Rhinolophus_pusillus,10,3970674.542,
Myotis_californicus,10,3984266.858,
Chlorocebus_tantalus,10,3988337.728,
Kerivoula_hardwickii,5,4047218.391,
Callosciurus_erythraeus,2,4073468.956,
Aethomys_chrysophilus,14,4154303.103,
Monodelphis_domestica,6,4160882.554,
Tylonycteris_pachypus,2,4169956.093,
Tamias_striatus,4,4197637.279,
Mus_minutoides,57,4215733.968,
Pipistrellus_subflavus,3,4263808.445,
Rousettus_amplexicaudatus,4,4281493.633,
Papio_cynocephalus,4,4289611.805,
Euryoryzomys_macconnelli,2,4294741.434,
Saimiri_sciureus,18,4419765.006,
Lemniscomys_striatus,37,4422581.629,
Myonycteris_torquata,63,4522691.389,
Microtus_gregalis,6,4537976.054,
Chlorocebus_pygerythrus,4,4577375.92,
Corynorhinus_townsendii,92,4596732.539,
Gerbilliscus_kempi,4,4610254.34,
Scotophilus_viridis,16,4659935.996,
Niviventer_fulvescens,23,4719942.634,
Carollia_castanea,2,4898799.544,
Myotis_septentrionalis,4,4946758.557,
Crocidura_attenuata,6,5024752.877,
Reithrodontomys_megalotis,2,5116746.899,
Apodemus_sylvaticus,160,5220650.038,
Scotophilus_kuhlii,10,5225578.433,
Tamias_minimus,26,5243645.61,
Spermophilus_parryii,63,5347301.618,
Saccostomus_campestris,24,5347563.552,
Bandicota_indica,7,5375812.176,
Micropteropus_pusillus,96,5380417.014,
Rhinolophus_affinis,4,5506446.891,
Pipistrellus_savii,5,5559727.393,
Conepatus_chinga,4,5585801.204,
Pseudois_nayaur,32,5733238.282,
Gerbilliscus_leucogaster,2,5765244.775,
Myotis_nattereri,35,5867501.734,
Apodemus_flavicollis,202,6065998.738,
Crocidura_sibirica,5,6101790.005,
Cephalophus_silvicultor,4,6162520.986,
Meriones_meridianus,2,6164134.804,
Arvicanthis_niloticus,15,6182773.194,
Sorex_palustris,4,6241652.06,
Rhinolophus_hipposideros,365,6256435.823,
Gerbillus_tarabuli,10,6321624.079,
Paguma_larvata,2,6332646.836,
Philantomba_monticola,24,6372957.442,
Marmosa_murina,26,6449547.745,
Cynopterus_sphinx,4,6455957.305,
Talpa_europaea,2,6479377.277,
Microtus_ochrogaster,2,6486372.408,
Martes_flavigula,2,6584648.509,
Martes_zibellina,42,6751534.199,
Herpestes_javanicus,9,6756393.389,
Rousettus_leschenaultii,2,6764169.069,
Rhinolophus_luctus,2,6782032.28,
Microtus_arvalis,246,6888548.173,
Sorex_hoyi,3,6985312.205,
Cavia_aperea,20,7003978.947,
Ursus_thibetanus,6,7047809.813,
Paradoxurus_hermaphroditus,27,7069963.598,
Mastomys_erythroleucus,57,7097705.602,
Apodemus_uralensis,59,7231624.998,
Chaerephon_pumilus,7,7239483.984,
Otomops_martiensseni,17,7309457.875,
Rattus_tanezumi,125,7480497.968,
Martes_americana,186,7637536.589,
Tachyglossus_aculeatus,2,7766686.966,
Marmosa_demerarae,19,7823777.513,
Meriones_libycus,8,7829423.139,
Glaucomys_sabrinus,58,7852682.874,
Rattus_rattus,151,7864870.818,
Jaculus_jaculus,89,8111123.104,
Crocidura_viaria,2,8204147.691,
Rhinophylla_pumilio,2,8332336.416,
Vampyrodes_caraccioli,2,8343618.504,
Suncus_murinus,6,8439882.792,
Pteronotus_parnellii,2,8592222.364,
Myodes_glareolus,682,8679141.8,
Zapus_hudsonius,267,8737681.628,
Mesophylla_macconnelli,5,8815935.287,
Apodemus_peninsulae,18,8903127.782,
Vulpes_corsac,2,8975689.931,
Urocyon_cinereoargenteus,28,8985890.661,
Ceratotherium_simum,4,9016934.305,
Hipposideros_ruber,11,9059982.008,
Micronycteris_hirsuta,2,9073479.732,
Martes_martes,44,9114799.811,
Lynx_rufus,23,9303129.116,
Gerbillus_gerbillus,10,9384469.815,
Prionailurus_bengalensis,5,9508868.427,perc_90
Ursus_americanus,9,9704197.651,perc_90
Rhinolophus_ferrumequinum,6,9746631.173,perc_90
Meles_meles,2,9763858.967,perc_90
Gazella_dorcas,41,9903818.738,perc_90
Artibeus_gnomus,2,10007748.65,perc_90
Ochotona_hyperborea,5,10046990.44,perc_90
Gerbillus_nanus,4,10210786.02,perc_90
Metachirus_nudicaudatus,4,10339690.48,perc_90
Tamiasciurus_hudsonicus,12,10364040.18,perc_90
Eptesicus_nilssonii,6,10418707.42,perc_90
Nasua_nasua,2,10629131.13,perc_90
Pipistrellus_kuhlii,2,10723116.75,perc_90
Microtus_agrestis,228,10818852.76,perc_90
Scotophilus_dinganii,30,10952062.39,perc_90
Necromys_lasiurus,6,11105827.31,perc_90
Apodemus_agrarius,30,11531230.92,perc_90
Sorex_cinereus,8,11571850.26,perc_90
Lonchorhina_aurita,3,11574470.94,perc_90
Procyon_lotor,15,11684182.92,perc_90
Eidolon_helvum,60,11802621.59,perc_90
Capreolus_pygargus,13,11997231.43,perc_90
Myotis_lucifugus,12,12040435.81,perc_90
Tragelaphus_scriptus,38,12063886.71,perc_90
Eptesicus_serotinus,8,12116735.53,perc_90
Mephitis_mephitis,258,12271140.38,perc_90
Martes_foina,7,12397934.08,perc_90
Saccopteryx_bilineata,4,12631738.97,perc_90
Crocidura_suaveolens,17,12641320.79,perc_90
Uroderma_bilobatum,3,12793921.79,perc_90
Genetta_maculata,4,12856198.18,perc_90
Peromyscus_maniculatus,4,13030566.48,perc_90
Myodes_rufocanus,214,13113530.79,perc_90
Sorex_araneus,23,13234995.25,perc_90
Sylvicapra_grimmia,3,13575937.13,perc_90
Pteromys_volans,19,13738630.1,perc_90
Carollia_perspicillata,7,13795814.51,perc_90
Genetta_genetta,9,13962716.7,perc_90
Artibeus_lituratus,13,14234438.81,perc_90
Sorex_minutus,208,14289284.54,perc_90
Crocuta_crocuta,10,14470665.73,perc_90
Tamias_sibiricus,100,14493476.1,perc_90
Myotis_daubentonii,3,14655028.29,perc_90
Sturnira_lilium,35,15288792.07,perc_90
Castor_canadensis,4,15418841.95,perc_90
Vespertilio_murinus,2,15709416.94,perc_90
Crocidura_olivieri,4,15835100.11,perc_90
Pecari_tajacu,55,15938365.46,perc_90
Sorex_tundrensis,75,16000922.75,perc_90
Mastomys_natalensis,78,16655251.57,perc_90
Canis_latrans,49,17097659.69,perc_90
Sorex_minutissimus,67,17484312.75,perc_90
Sorex_caecutiens,8,17661483.28,perc_90
Micromys_minutus,62,18260895.32,perc_90
Myodes_rutilus,94,18530225.41,perc_90
Microtus_oeconomus,8,18612484.81,perc_90
Sciurus_vulgaris,10,19812071.22,perc_90
Lepus_timidus,32,20027194.51,perc_90
Puma_concolor,22,21680508.59,perc_90
Ursus_maritimus,5,22638407.4,perc_90
Gulo_gulo,17,24396583.48,perc_90
Ursus_arctos,33,29842491.81,perc_90
Mustela_erminea,170,41253315.79,perc_90
Mustela_nivalis,39,43722332.23,perc_90
Vulpes_vulpes,34,64742300.07,perc_90
