,ranges
Anodonthyla_rouxae,103.5932308
Anodonthyla_theoi,17.6431038
Anodonthyla_vallani,12.74945946
Anomaloglossus_atopoglossus,12.53030252
Anomaloglossus_ayarzaguenai,177.2778427
Anomaloglossus_baeobatrachus,682860.0226
Anomaloglossus_beebei,127.2615175
Anomaloglossus_breweri,41.61783278
Anomaloglossus_degranvillei,177407.4576
Anomaloglossus_guanayensis,1117.925897
Anomaloglossus_kaiei,8880.401537
Anomaloglossus_lacrimosus,2409.910708
Anomaloglossus_murisipanensis,11.50367486
Anomaloglossus_parimae,2.786965435
Anomaloglossus_parkerae,859.081287
Anomaloglossus_praderioi,206.0215546
Anomaloglossus_roraima,145.0230888
Anomaloglossus_rufulus,445.8483153
Anomaloglossus_shrevei,12929.41386
Anomaloglossus_stepheni,24168.74794
Anomaloglossus_tamacuarensis,536.2932803
Anomaloglossus_tepuyensis,3600.298236
Anomaloglossus_triunfo,9.653911684
Anomaloglossus_wothuja,9.780944379
Anotheca_spinosa,8659.560686
Ansonia_albomaculata,93719.97761
Ansonia_endauensis,32.80237043
Ansonia_fuliginea,602.1056068
Ansonia_glandulosa,38.51219907
Ansonia_guibei,3586.819971
Ansonia_hanitschi,21080.15955
Ansonia_inthanon,2684.043106
Ansonia_jeetsukumarani,3407.616035
Ansonia_kraensis,9121.687312
Ansonia_latidisca,16.2573635
Ansonia_latiffi,18580.96854
Ansonia_latirostra,121.2815141
Ansonia_longidigita,78712.25255
Ansonia_malayana,84629.76962
Ansonia_mcgregori,4589.27362
Ansonia_minuta,14207.02058
Ansonia_muelleri,8327.835222
Ansonia_platysoma,3641.692733
Ansonia_siamensis,1441.766824
Ansonia_spinulifer,28734.59994
Ansonia_thinthinae,280.8649377
Ansonia_tiomanica,45.92401392
Ansonia_torrentis,1128.982021
Aparasphenodon_bokermanni,33.32590347
Aparasphenodon_brunoi,249420.2489
Aparasphenodon_venezolanus,85293.34004
Aphantophryne_minuta,50.99180664
Aphantophryne_pansa,779.4600726
Aphantophryne_sabini,14.45225482
Aplastodiscus_albofrenatus,16181.03907
Aplastodiscus_albosignatus,61210.49497
Aplastodiscus_arildae,162474.627
Aplastodiscus_callipygius,9476.889421
Aplastodiscus_cavicola,22879.27047
Aplastodiscus_cochranae,7520.821457
Aplastodiscus_ehrhardti,20034.52525
Aplastodiscus_eugenioi,3627.90692
Aplastodiscus_flumineus,105.0102522
Aplastodiscus_ibirapitanga,10680.40515
Aplastodiscus_leucopygius,115410.6196
Aplastodiscus_musicus,675.1305998
Aplastodiscus_perviridis,1006083.271
Aplastodiscus_sibilatus,1612.100216
Aplastodiscus_weygoldti,30.73442489
Arcovomer_passarellii,39739.70546
Arenophryne_rotunda,3793.123247
Argenteohyla_siemersi,62114.3598
Arlequinus_krebsi,58.85285141
Aromobates_alboguttatus,151.2924404
Aromobates_capurinensis,71.23826108
Aromobates_duranti,229.4518962
Aromobates_haydeeae,307.5655571
Aromobates_leopardalis,37.71356436
Aromobates_mayorgai,403.2777999
Aromobates_meridensis,204.238608
Aromobates_molinarii,523.6875743
Aromobates_nocturnus,185.7960786
Aromobates_orostoma,115.8122886
Aromobates_saltuensis,349.3301026
Aromobates_serranus,110.1456738
Arthroleptella_bicolor,2040.149171
Arthroleptella_drewesii,31.00016014
Arthroleptella_landdrosia,1037.841023
Arthroleptella_lightfooti,357.047092
Arthroleptella_rugosa,7.109336636
Arthroleptella_subvoce,40.4041544
Arthroleptella_villiersi,5675.610274
Arthroleptides_dutoiti,768.9000143
Arthroleptides_martiensseni,635.452436
Arthroleptides_yakusini,3113.194178
Arthroleptis_adelphus,471769.613
Arthroleptis_adolfifriederici,12497.64013
Arthroleptis_affinis,10993.39199
Arthroleptis_anotis,3.576513741
Arthroleptis_aureoli,214.0185231
Arthroleptis_bioko,127.9509643
Arthroleptis_bivittatus,7.304413915
Arthroleptis_brevipes,21.25175629
Arthroleptis_carquejai,922.185524
Arthroleptis_crusculum,1521.832239
Arthroleptis_discodactylus,17.86118833
Arthroleptis_fichika,24.93288641
Arthroleptis_formosus,183.1519945
Arthroleptis_francei,1609.21251
Arthroleptis_hematogaster,13412.94639
Arthroleptis_kidogo,69.19394387
Arthroleptis_krokosua,3563.269735
Arthroleptis_kutogundua,7.011648165
Arthroleptis_lameerei,819222.0678
Arthroleptis_langeri,12.40775287
Arthroleptis_lonnbergi,21.26503839
Arthroleptis_loveridgei,3007.789623
Arthroleptis_mossoensis,19.77696972
Arthroleptis_nguruensis,12.4412652
Arthroleptis_nikeae,0.227923881
Arthroleptis_nimbaensis,58.68210038
Arthroleptis_nlonakoensis,5.587912006
Arthroleptis_palava,18317.38151
Arthroleptis_perreti,283.5245142
Arthroleptis_phrynoides,59.91552571
Arthroleptis_poecilonotus,2563669.016
Arthroleptis_pyrrhoscelis,10337.6832
Arthroleptis_reichei,10945.23236
Arthroleptis_schubotzi,27346.72869
Arthroleptis_spinalis,164.9719165
Arthroleptis_stridens,12.02085063
Arthroleptis_sylvaticus,1013495.742
Arthroleptis_taeniatus,723715.6068
Arthroleptis_tanneri,647.9814813
Arthroleptis_troglodytes,14.73294714
Arthroleptis_tuberosus,1128768.302
Arthroleptis_variabilis,1610089.54
Arthroleptis_vercammeni,16.77460088
Arthroleptis_wahlbergii,50859.91203
Arthroleptis_xenochirus,1044548.866
Arthroleptis_xenodactyloides,1109332.768
Arthroleptis_xenodactylus,599.6571209
Arthroleptis_zimmeri,6.121136581
Ascaphus_montanus,239003.7056
Ascaphus_truei,304262.1207
Assa_darlingtoni,35991.76734
Asterophrys_leucopus,72.61216728
Asterophrys_turpicola,239001.5902
Astylosternus_batesi,650619.4126
Astylosternus_diadematus,11337.07536
Astylosternus_fallax,690.9975962
Astylosternus_laticephalus,50739.85698
Astylosternus_laurenti,2916.338659
Astylosternus_montanus,12341.6802
Astylosternus_nganhanus,169.3004469
Astylosternus_occidentalis,185796.1316
Astylosternus_perreti,383.445232
Astylosternus_ranoides,2055.418836
Astylosternus_rheophilus,9426.511228
Astylosternus_schioetzi,977.5544363
Atelognathus_ceii,99.76724846
Atelognathus_jeinimenensis,6.825931614
Atelognathus_nitoi,53.52287445
Atelognathus_patagonicus,278.6916823
Atelognathus_praebasalticus,2336.928628
Atelognathus_reverberii,3957.58038
Atelognathus_salai,191.6566711
Atelognathus_solitarius,152.1602415
Atelopus_andinus,2404.540021
Atelopus_angelito,68.61039749
Atelopus_ardila,50.7905245
Atelopus_arsyecue,73.19407082
Atelopus_arthuri,73.20729806
Atelopus_balios,379.9694182
Atelopus_bomolochos,11345.27705
Atelopus_boulengeri,2383.11349
Atelopus_carauta,140.7875493
Atelopus_carbonerensis,144.0916882
Atelopus_carrikeri,624.2791402
Atelopus_certus,105.1014114
Atelopus_chiriquiensis,4485.180148
Atelopus_chirripoensis,3.934348388
Atelopus_chocoensis,343.1391643
Atelopus_chrysocorallus,65.94701369
Atelopus_coynei,2955.079126
Atelopus_cruciger,6950.737655
Atelopus_dimorphus,65.90720467
Atelopus_ebenoides,1908.01049
Atelopus_elegans,9227.262427
Atelopus_epikeisthos,29.32248741
Atelopus_erythropus,265.3511048
Atelopus_eusebianus,727.40835
Atelopus_eusebiodiazi,20.53111973
Atelopus_exiguus,759.4626648
Atelopus_famelicus,231.0628186
Atelopus_farci,99.24040181
Atelopus_flavescens,485.1603934
Atelopus_franciscus,28576.29557
Atelopus_galactogaster,64.12515324
Atelopus_gigas,5.593581588
Atelopus_glyphus,335.4362928
Atelopus_guanujo,17.91278043
Atelopus_guitarraensis,65.46613648
Atelopus_halihelos,21.85305536
Atelopus_ignescens,10187.26779
Atelopus_laetissimus,164.8362351
Atelopus_limosus,441.1862151
Atelopus_longibrachius,1016.045358
Atelopus_longirostris,3620.090128
Atelopus_lozanoi,443.4872192
Atelopus_lynchi,42.1463598
Atelopus_mandingues,286.5794805
Atelopus_mindoensis,3966.320618
Atelopus_minutulus,23.4192964
Atelopus_mittermeieri,136.253649
Atelopus_monohernandezii,101.014794
Atelopus_mucubajiensis,89.41111305
Atelopus_muisca,136.1495392
Atelopus_nahumae,391.260116
Atelopus_nanay,8.21124992
Atelopus_nepiozomus,2263.287618
Atelopus_nicefori,90.39342121
Atelopus_onorei,2.312026487
Atelopus_orcesi,4.229778124
Atelopus_oxapampae,222.2370846
Atelopus_oxyrhynchus,342.4807925
Atelopus_pachydermus,8919.843158
Atelopus_palmatus,38.1382532
Atelopus_pastuso,3665.326676
Atelopus_patazensis,27.73574067
Atelopus_pedimarmoratus,96.51562956
Atelopus_peruensis,22735.85362
Atelopus_petersi,7282.747204
Atelopus_petriruizi,311.0028795
Atelopus_pictiventris,298.5260261
Atelopus_pinangoi,46.83734381
Atelopus_planispina,3241.106067
Atelopus_podocarpus,768.1227646
Atelopus_pulcher,9259.311441
Atelopus_pyrodactylus,23.89023551
Atelopus_quimbaya,252.6363293
Atelopus_reticulatus,67.47680799
Atelopus_sanjosei,345.9213314
Atelopus_seminiferus,2262.740483
Atelopus_senex,1147.084433
Atelopus_sernai,308.4562612
Atelopus_simulatus,577.3309252
Atelopus_siranus,61.14797186
Atelopus_sonsonensis,353.0287915
Atelopus_sorianoi,181.2260786
Atelopus_spumarius,805847.467
Atelopus_spurrelli,24190.55597
Atelopus_subornatus,305.7155403
Atelopus_tamaense,65.76789787
Atelopus_tricolor,39616.38451
Atelopus_varius,21400.74331
Atelopus_vogli,2.813895749
Atelopus_walkeri,189.1030198
Atelopus_zeteki,1588.791717
Atopophrynus_syntomopus,5.758792998
Atylodes_genei,2152.319682
Aubria_masako,1137600.354
Aubria_occidentalis,425551.991
Aubria_subsigillata,145571.2385
Austrochaperina_adamantina,245.2752834
Austrochaperina_adelphe,109267.6909
Austrochaperina_aquilonia,245.2687186
Austrochaperina_archboldi,157.2221017
Austrochaperina_basipalmata,11103.92653
Austrochaperina_blumi,1959.213396
Austrochaperina_brevipes,314.8532598
Austrochaperina_derongo,82392.8967
Austrochaperina_fryi,6373.892324
Austrochaperina_gracilipes,78512.60178
Austrochaperina_guttata,22489.76698
Austrochaperina_hooglandi,112.8366225
Austrochaperina_kosarek,58.17255066
Austrochaperina_macrorhyncha,61479.59057
Austrochaperina_mehelyi,486.1655252
Austrochaperina_minutissima,12.56221205
Austrochaperina_novaebritanniae,2752.229244
Austrochaperina_palmipes,29122.15516
Austrochaperina_parkeri,186.0362305
Austrochaperina_pluvialis,13685.07043
Austrochaperina_polysticta,22.34443389
Austrochaperina_rivularis,19092.83165
Austrochaperina_robusta,8834.694001
Austrochaperina_septentrionalis,2.693176784
Austrochaperina_yelaensis,245.7643093
Babina_adenopleura,559489.195
Babina_chapaensis,302602.9567
Babina_daunchina,81547.82444
Babina_holsti,618.4876868
Babina_lini,25411.17576
Babina_okinavana,2195.387802
Babina_pleuraden,333799.7773
Babina_subaspera,784.5532637
Balebreviceps_hillmani,4.899447477
Barbarophryne_brongersmai,92778.46361
Barbourula_busuangensis,2667.708919
Barbourula_kalimantanensis,98.15985356
Barycholos_pulcher,12693.77286
Barycholos_ternetzi,514513.0231
Barygenys_atra,4984.43143
Barygenys_cheesmanae,63.00416397
Barygenys_exsul,3640.006116
Barygenys_flavigularis,47.83218879
Barygenys_maculata,155.189066
Barygenys_nana,3889.323886
Barygenys_parvula,385.669529
Batrachoseps_attenuatus,54770.84614
Batrachoseps_campi,332.6928102
Batrachoseps_diabolicus,2008.306904
Batrachoseps_gabrieli,564.7932713
Batrachoseps_gavilanensis,11354.68109
Batrachoseps_gregarius,7833.322022
Batrachoseps_incognitus,812.7819671
Batrachoseps_kawia,1528.848509
Batrachoseps_luciae,1594.124551
