,ranges
Callicebus_personatus,142976.166
Callicebus_purinus,152852.8483
Callicebus_regulus,221340.1224
Callicebus_stephennashi,31741.36232
Callicebus_torquatus,247897.8421
Callimico_goeldii,602347.5354
Callistomys_pictus,4897.115585
Callithrix_aurita,159629.99
Callithrix_flaviceps,24732.73856
Callithrix_geoffroyi,124967.4564
Callithrix_jacchus,943367.4798
Callithrix_kuhlii,45701.30157
Callithrix_penicillata,1309802.883
Callosciurus_adamsi,89597.92093
Callosciurus_albescens,58797.89632
Callosciurus_baluensis,48149.33876
Callosciurus_caniceps,650698.6149
Callosciurus_erythraeus,4073468.956
Callosciurus_finlaysonii,729625.3036
Callosciurus_inornatus,309635.5319
Callosciurus_melanogaster,5105.913746
Callosciurus_nigrovittatus,708578.7416
Callosciurus_notatus,1495668.731
Callosciurus_orestes,50506.68446
Callosciurus_phayrei,153742.9835
Callosciurus_prevostii,1313807.109
Callosciurus_pygerythrus,587612.0284
Callosciurus_quinquestriatus,40859.59872
Calomys_boliviae,72104.39621
Calomys_callidus,55935.79655
Calomys_callosus,3145719.961
Calomys_expulsus,1360005.636
Calomys_fecundus,54306.207
Calomys_hummelincki,312461.0176
Calomys_laucha,1437895.891
Calomys_lepidus,584185.241
Calomys_musculinus,2024418.252
Calomys_sorellus,244088.4483
Calomys_tener,1710305.227
Calomys_tocantinsi,132797.9196
Calomys_venustus,58305.9909
Calomyscus_bailwardi,185865.4407
Calomyscus_baluchi,426531.7153
Calomyscus_elburzensis,231389.9484
Calomyscus_grandis,6001.431223
Calomyscus_hotsoni,141126.3053
Calomyscus_mystax,208439.6335
Calomyscus_tsolovi,33.53736265
Calomyscus_urartensis,4812.172203
Caluromys_derbianus,792248.4477
Caluromys_lanatus,5109289.264
Caluromys_philander,3706320.503
Caluromysiops_irrupta,182310.7821
Calyptophractus_retusus,269343.4284
Camelus_ferus,202125.2104
Canis_adustus,10712932.64
Canis_aureus,27114703.13
Canis_latrans,17097659.69
Canis_lupus,51565110.29
Canis_mesomelas,6453564.539
Canis_rufus,3120.707678
Canis_simensis,6913.950935
Cannomys_badius,1043817.277
Cansumys_canus,160967.0811
Capra_aegagrus,1403570.72
Capra_caucasica,11889.56397
Capra_cylindricornis,22342.82883
Capra_falconeri,19342.09157
Capra_ibex,14914.13561
Capra_nubiana,184991.8066
Capra_pyrenaica,53277.37292
Capra_sibirica,1562826.207
