GridCell_Id,species,PiHat,RangeSize_km2,RangeSize_percentile,nseqs
2814,Mephitis_mephitis,0.012804057,12271140.38,perc_90,15
2904,Mephitis_mephitis,0.014079099,12271140.38,perc_90,13
2813,Mephitis_mephitis,0.015806988,12271140.38,perc_90,17
1115,Metachirus_nudicaudatus,0.007613482,10339690.48,perc_90,4
2598,Micromys_minutus,0,18260895.32,perc_90,3
2411,Micromys_minutus,0.000437063,18260895.32,perc_90,4
2416,Micromys_minutus,0.000584795,18260895.32,perc_90,4
2871,Micromys_minutus,0.000584795,18260895.32,perc_90,3
2689,Micromys_minutus,0.000717703,18260895.32,perc_90,12
2780,Micromys_minutus,0.000818713,18260895.32,perc_90,6
2506,Micromys_minutus,0.000877193,18260895.32,perc_90,2
3108,Micromys_minutus,0.000877193,18260895.32,perc_90,2
2688,Micromys_minutus,0.001052632,18260895.32,perc_90,6
3126,Micromys_minutus,0.002161654,18260895.32,perc_90,8
2687,Micromys_minutus,0.002192982,18260895.32,perc_90,4
2927,Micromys_minutus,0.002192982,18260895.32,perc_90,4
3018,Micromys_minutus,0.005263158,18260895.32,perc_90,2
2868,Micromys_minutus,0.007894737,18260895.32,perc_90,2
3108,Microtus_agrestis,0.003091061,10818852.76,perc_90,7
3293,Microtus_agrestis,0.003508772,10818852.76,perc_90,2
3110,Microtus_agrestis,0.00503655,10818852.76,perc_90,16
3019,Microtus_agrestis,0.005179616,10818852.76,perc_90,7
3194,Microtus_agrestis,0.005319388,10818852.76,perc_90,13
3198,Microtus_agrestis,0.005614035,10818852.76,perc_90,5
3197,Microtus_agrestis,0.005645933,10818852.76,perc_90,11
3015,Microtus_agrestis,0.005891043,10818852.76,perc_90,20
3292,Microtus_agrestis,0.007163743,10818852.76,perc_90,4
3109,Microtus_agrestis,0.007368421,10818852.76,perc_90,5
3020,Microtus_agrestis,0.00745614,10818852.76,perc_90,12
3104,Microtus_agrestis,0.007852206,10818852.76,perc_90,45
3021,Microtus_agrestis,0.007987073,10818852.76,perc_90,19
